Packet number,a_x,a_y,a_z,w_x,w_y,w_z
443,2300,16448,312,140,416,-235
444,2400,16108,-8,50,170,-78
445,2180,16364,464,-41,208,-120
446,2528,16420,716,-166,293,-184
447,2240,16420,340,-384,216,-225
448,2392,16560,600,-575,813,-335
449,2196,16152,208,-944,757,-223
450,2500,16436,1292,-1858,755,-322
451,2380,16200,1160,-3981,65,-70
452,1844,16080,1416,-6541,1275,-578
453,4152,17032,3752,-9949,-97,-50
454,2560,15636,3600,-13466,-4848,-513
455,-184,14844,1836,-16111,2048,-2122
456,3116,16028,8072,-18684,-3410,-2946
457,-40,13920,7452,-22327,3181,-4410
458,3540,14484,18512,-25785,-155,-4812
459,1540,11620,9884,-30502,-928,-2051
460,-600,10372,12084,-30677,5364,-3856
461,2352,9584,18664,-32768,-1318,-1729
462,-1904,5184,13508,-28672,3039,-4155
463,-160,3424,18076,-30735,6199,-3264
464,-1172,-8,18672,-32768,-615,-2872
465,664,-2344,13976,-29448,-2581,-2519
466,1244,-4676,17576,-28770,-444,-381
467,-1156,-7424,12096,-29379,2137,-1137
468,-164,-8944,12532,-25891,4520,-3107
469,400,-11292,9580,-25258,6120,-1847
470,1652,-12544,8468,-21994,808,-1906
471,-3156,-13308,10016,-22550,-204,-803
472,1568,-15028,4072,-18603,2456,-486
473,-1852,-16144,5428,-16938,-1026,-1033
474,-2576,-15852,4952,-14006,-183,-1373
475,-256,-15420,2140,-10373,-1504,-42
476,-296,-15380,-4,-9781,437,-232
477,672,-15508,-216,-8112,889,-1107
478,224,-15560,-584,-6393,2345,-1386
479,1120,-15980,-1604,-6023,1311,-1356
480,440,-15940,-1588,-3752,37,244
481,-128,-16472,-2820,-2760,403,-112
482,672,-16260,-3544,-1198,-196,-15
483,140,-16200,-2096,221,-91,243
484,428,-15772,-2780,654,-207,-293
485,796,-16024,-2384,1320,-1012,-242
486,132,-16020,-1408,922,200,136
487,728,-15996,-2288,1135,541,508
488,304,-16484,-1764,734,259,558
489,68,-16176,-2132,-69,411,111
490,348,-16108,-2152,-35,1118,-7
491,396,-16132,-1960,96,929,74
492,224,-16172,-1672,-344,1177,-135
493,512,-16088,-2188,626,2105,-137
494,-152,-15848,-1508,1289,1962,45
495,-116,-15592,-2668,2831,2698,154
496,156,-15632,-364,4331,2655,233
497,1008,-15976,-2204,5877,2174,1363
498,-236,-15704,-476,9022,1738,1844
499,-396,-15940,1320,10889,2426,2174
500,-436,-16400,2804,12119,-22,2382
501,-1056,-16736,2068,13176,1132,1302
502,-724,-16060,4376,14721,2889,1843
503,-1032,-15000,4560,16522,-1274,3748
504,-1320,-13740,4688,19371,948,3549
505,-344,-12276,5644,21280,2933,5046
506,-1924,-11660,12024,23017,380,4734
507,-4084,-11780,9904,21981,-216,4278
508,1120,-8596,12308,23484,2044,6094
509,-4508,-8308,14600,21041,-4915,5053
510,-1604,-5592,13308,21391,-5563,5021
511,-3240,-4272,15284,17744,-4396,3091
512,-2060,-3424,15584,13506,-4284,1993
513,-2936,-2544,15240,8457,2497,1606
514,-1160,-1932,16704,4910,1060,1952
515,-4068,-1992,17256,1780,-1997,895
516,-2148,-996,15256,676,-950,821
517,-2392,-544,17708,1433,-1085,241
518,-2208,-840,17124,878,-626,519
519,-1312,-568,16644,472,-1850,683
520,-2140,-660,15488,293,87,73
521,-2132,-580,16648,-126,163,-263
522,-1448,-584,15788,-258,-89,-164
523,-2100,-684,16652,-1149,-401,-383
524,-1412,-672,16240,-562,208,-491
525,-1452,-608,16344,-245,611,-836
526,-1512,-784,16204,-33,534,-976
527,-1352,-736,15876,-11,54,-758
528,-1796,-884,15840,292,1086,-1069
529,-1620,-700,16540,210,70,-671
530,-1692,-804,16372,85,317,-530
531,-1644,-708,15708,453,-546,-16
532,-1328,-924,16552,644,156,97
533,-1800,-784,16404,526,-602,203
534,-1512,-824,16104,615,-310,326
535,-1280,-980,15832,798,121,67
536,-1704,-624,16464,217,29,-196
537,-1112,-648,16484,-54,329,-121
538,-1848,-620,16140,-41,121,-26
539,-1388,-596,16324,-300,757,241
540,-1424,-648,16272,-455,201,829
541,-1496,-688,16368,-463,-1207,1953
542,-1360,-516,16200,7,-3222,4913
543,-792,-544,16524,-366,-3935,8449
544,-1584,-592,15588,-1160,-2303,11700
545,-2568,-520,14772,-948,2738,14194
546,-572,-996,15484,-1482,2549,16980
547,-40,-92,15780,-2600,-3046,19238
548,-1856,-492,16248,-1296,-4335,20291
549,-1600,-1812,16904,-1265,-3106,18219
550,-1604,-1248,15932,-340,-206,17780
551,632,308,14548,885,-7647,18214
552,644,-772,16452,3147,-3016,17590
553,-1160,-1092,19248,875,1446,17379
554,1196,-812,16248,-1578,-35,17206
555,1584,-168,14204,-283,101,18099
556,2704,-1264,16612,-424,4664,19816
557,360,84,18736,-2074,2700,19427
558,-1316,-116,16304,-3499,3512,16282
559,1416,-512,16872,-3054,2909,14009
560,-868,-500,16544,-3498,-834,11081
561,-316,-996,16812,-2914,1117,7712
562,-492,-1104,17256,-3242,773,4465
563,-388,-852,16852,-2404,2394,1936
564,116,-164,15700,-1161,184,620
565,-636,668,16368,101,2323,647
566,364,152,15832,1094,2454,1387
567,-868,188,17596,681,-2123,1646
568,-2568,-416,15728,661,1194,732
569,-284,-880,14956,1480,-563,328
570,-624,-1136,16392,1295,-3363,-109
